Wall time,Step,Value
1736860369.848106,100000,1200.5516357421875
1736860754.963692,230000,1194.2794189453125
1736860984.6618931,310000,1196.216552734375
1736861592.431627,520000,1201.2216796875
1736861662.1722581,540000,1200.559814453125
1736861741.4521532,570000,1199.185302734375
1736861792.432132,590000,1199.2923583984375
1736861975.0720482,650000,1200.2086181640625
1736862048.55212,680000,1200.8231201171875
1736862481.551687,830000,1228.6510009765625
1736862558.945835,860000,1229.9627685546875
1736862703.756681,910000,1232.299560546875
1736862920.2939699,990000,1239.8681640625
1736863115.32641,1060000,1255.786376953125
1736863334.594069,1140000,1268.226318359375
1736863413.52612,1170000,1265.105712890625
1736863451.203786,1180000,1271.8785400390625
1736863638.206305,1250000,1277.63525390625
1736864007.4438028,1380000,1318.8385009765625
1736864369.692269,1510000,1339.6036376953125
1736864676.784946,1620000,1354.311279296875
1736864821.5602272,1670000,1352.53125
1736864900.3185668,1700000,1359.8953857421875
1736865153.391658,1790000,1376.82177734375
1736865185.0824618,1800000,1381.85400390625
1736865472.0924768,1900000,1398.305908203125
1736865609.130837,1950000,1403.2664794921875
1736865666.355903,1970000,1406.810546875
1736865699.499098,1980000,1413.9891357421875
1736865815.7297091,2020000,1411.5135498046875
1736866041.6208599,2100000,1425.4044189453125
1736866259.706403,2180000,1428.7528076171875
1736866292.972898,2190000,1430.78662109375
1736866430.544414,2240000,1439.310791015625
1736866747.189565,2350000,1422.6416015625
1736866920.744116,2410000,1415.142822265625
1736867057.725868,2460000,1442.861572265625
1736867148.6697989,2490000,1441.01416015625
1736867484.898561,2610000,1430.1741943359375
1736867664.447068,2670000,1454.0670166015625
1736867817.283099,2720000,1448.75
1736868020.550625,2790000,1448.40673828125
1736868141.01545,2830000,1455.2816162109375
1736868200.675808,2850000,1439.360595703125
1736868754.868115,3040000,1450.677490234375
1736868907.213377,3090000,1449.3428955078125
1736868931.2967029,3100000,1444.3602294921875
1736869083.350556,3150000,1459.71337890625
1736869224.940368,3200000,1450.61767578125
1736869285.799947,3220000,1450.1248779296875
1736869519.4342642,3300000,1455.862060546875
1736869544.3673449,3310000,1458.2552490234375
1736869755.1248572,3380000,1481.2431640625
1736869872.6500301,3420000,1481.48095703125
1736870128.8858979,3510000,1469.6568603515625
1736870359.608188,3590000,1475.2191162109375
1736870824.246133,3750000,1473.7977294921875
1736870937.89408,3790000,1449.6617431640625
1736871112.151789,3850000,1455.998291015625
1736871225.971005,3890000,1481.7252197265625
1736871284.381738,3910000,1495.42138671875
1736872484.087397,4330000,1459.891845703125
1736872517.040855,4340000,1454.46142578125
1736872577.0571048,4360000,1452.0323486328125
1736872741.5580008,4420000,1465.0445556640625
1736873007.6818922,4510000,1465.294677734375
1736873066.792935,4530000,1474.1944580078125
1736873091.500017,4540000,1480.0712890625
1736873184.274955,4570000,1483.9200439453125
1736873362.276602,4630000,1471.322021484375
1736873617.919331,4720000,1469.2279052734375
1736873700.585639,4750000,1462.4874267578125
1736873734.655782,4760000,1470.3275146484375
1736874028.659431,4860000,1478.3636474609375
1736874534.240024,5030000,1478.4761962890625
1736874593.1397278,5050000,1486.6317138671875
1736875005.242143,5190000,1461.9066162109375
1736875150.790972,5240000,1471.087890625
1736875210.5943449,5260000,1465.5850830078125
1736875306.7254,5290000,1475.9671630859375
1736875542.3076322,5370000,1490.5267333984375
1736875724.056566,5430000,1473.0574951171875
1736875782.745704,5450000,1469.7724609375
1736875865.586792,5480000,1479.4072265625
1736876048.712236,5540000,1475.4185791015625
1736876192.293917,5590000,1472.9310302734375
1736876484.430393,5690000,1497.66943359375
1736876658.288634,5750000,1491.9932861328125
1736876831.918615,5810000,1470.0823974609375
1736876947.984725,5850000,1472.9515380859375
1736877122.9203498,5910000,1482.7283935546875
1736877178.167718,5930000,1484.1884765625
1736877201.56603,5940000,1488.0155029296875
1736877260.077895,5960000,1494.3472900390625
1736877316.65313,5980000,1488.9659423828125
1736877349.220351,5990000,1491.3489990234375
1736877489.9984481,6040000,1492.0440673828125
1736877524.344234,6050000,1488.3365478515625
1736877778.943548,6140000,1479.558349609375
1736877947.944428,6200000,1480.60693359375
1736878005.080114,6220000,1476.0859375
1736878141.826539,6270000,1462.850830078125
1736878290.439817,6320000,1493.2037353515625
1736878348.898002,6340000,1503.031494140625
1736878702.888587,6460000,1515.8812255859375
1736878904.023205,6530000,1487.4674072265625
1736878938.3607948,6540000,1490.7733154296875
1736878996.136533,6560000,1478.84765625
1736879044.827211,6580000,1481.4083251953125
1736879080.5753741,6590000,1476.9996337890625
1736879139.223506,6610000,1472.354736328125
1736879486.4574661,6730000,1458.3272705078125
1736879567.104958,6760000,1476.3765869140625
1736879684.046228,6800000,1484.48291015625
1736879776.253678,6830000,1486.4013671875
1736879857.940038,6860000,1492.1046142578125
1736879973.725146,6900000,1486.6400146484375
1736880007.431742,6910000,1486.102294921875
1736880113.01534,6950000,1504.7388916015625
1736880261.494442,7000000,1495.8541259765625
1736880576.341407,7110000,1501.452392578125
1736880694.574774,7150000,1495.66162109375
1736880782.560592,7180000,1501.5787353515625
1736881018.230381,7260000,1500.6280517578125
1736881126.531163,7300000,1504.30224609375
1736881218.436178,7330000,1505.4766845703125
1736881241.84852,7340000,1502.404052734375
1736881274.849217,7350000,1500.9241943359375
1736881475.136958,7420000,1511.9605712890625
1736881652.316319,7480000,1524.2928466796875
1736881711.8758771,7500000,1516.8814697265625
1736881746.202697,7510000,1516.2757568359375
1736881864.870622,7550000,1501.05908203125
1736881982.125228,7590000,1490.1636962890625
1736882102.380468,7630000,1500.7767333984375
1736882126.399453,7640000,1504.5189208984375
1736882242.138721,7680000,1511.8094482421875
1736882497.8606248,7770000,1503.793701171875
1736882613.52606,7810000,1501.43212890625
1736882649.400384,7820000,1499.769775390625
1736882673.135131,7830000,1497.9842529296875
1736882729.9626722,7850000,1504.884033203125
1736882762.8907368,7860000,1508.563232421875
1736882932.451243,7920000,1526.32275390625
1736883046.7275038,7960000,1527.919189453125
1736883071.733502,7970000,1525.1605224609375
1736883129.882839,7990000,1516.3143310546875
1736883186.668908,8010000,1515.1925048828125
1736883267.234179,8040000,1512.677001953125
1736883302.1081111,8050000,1505.087890625
1736883325.018507,8060000,1514.563720703125
1736883357.86251,8070000,1504.266845703125
1736883437.8229802,8100000,1502.18115234375
1736883551.445709,8140000,1523.3603515625
1736883698.227294,8190000,1521.8349609375
1736883720.045121,8200000,1519.3271484375
1736883756.190849,8210000,1520.6546630859375
1736883924.799104,8270000,1531.51904296875
1736884404.4539762,8440000,1525.49609375
1736884515.3279932,8480000,1529.2158203125
1736884571.3009999,8500000,1533.0079345703125
1736884708.2176,8550000,1542.6756591796875
1736885388.506003,8790000,1544.1920166015625
1736885450.103241,8810000,1547.9912109375
1736885584.420485,8860000,1539.557861328125
1736885643.21177,8880000,1545.3077392578125
1736885765.8934069,8920000,1531.2449951171875
1736885825.723692,8940000,1540.135986328125
1736886066.322728,9020000,1549.6136474609375
1736886248.629744,9080000,1552.1865234375
1736886366.824333,9120000,1534.8134765625
1736886566.3008158,9190000,1548.0211181640625
1736886625.0654132,9210000,1554.794189453125
1736886802.9669068,9270000,1527.3331298828125
1736886861.559412,9290000,1545.3046875
1736886950.4320178,9320000,1547.7818603515625
1736887031.7796721,9350000,1526.1053466796875
1736887257.892565,9430000,1551.1136474609375
1736887280.572921,9440000,1549.90576171875
1736887371.235541,9470000,1560.55908203125
1736887564.3548748,9540000,1550.1505126953125
1736887653.9116778,9570000,1553.3101806640625
1736887904.686945,9660000,1548.9915771484375
1736888018.764894,9700000,1532.7139892578125
1736888107.12223,9730000,1535.5975341796875
1736888130.522793,9740000,1537.5308837890625
1736888381.161778,9830000,1548.5394287109375
1736888415.240198,9840000,1548.7479248046875
1736888528.247514,9880000,1552.9359130859375
1736888585.8822699,9900000,1550.867919921875
1736888609.753746,9910000,1563.24267578125
1736888722.1690829,9950000,1559.10302734375
1736888755.024988,9960000,1562.7724609375
1736888834.873067,9990000,1559.2412109375
1736888867.609877,10000000,1563.16943359375
1736889096.0452569,10080000,1557.4925537109375
1736889208.6919198,10120000,1545.9561767578125
1736889267.315317,10140000,1535.7025146484375
1736889324.355257,10160000,1532.909912109375
1736889348.292414,10170000,1535.2755126953125
1736889602.709715,10260000,1558.3829345703125
1736889693.562261,10290000,1553.3524169921875
1736889920.444737,10370000,1553.7784423828125
1736889977.528137,10390000,1547.3116455078125
1736890091.783807,10430000,1540.99560546875
1736890117.646154,10440000,1537.4591064453125
1736890263.1269581,10490000,1555.2508544921875
1736890457.184982,10560000,1566.2635498046875
1736890821.831064,10690000,1549.3477783203125
1736890992.534045,10750000,1552.361572265625
1736891084.529046,10780000,1554.6741943359375
1736891138.732138,10800000,1556.8651123046875
1736891253.7602,10840000,1546.798583984375
1736891368.6865962,10880000,1549.2952880859375
1736891425.7569091,10900000,1563.2933349609375
1736891562.6364548,10950000,1553.743896484375
1736891585.8166342,10960000,1557.81640625
1736891621.386744,10970000,1560.2618408203125
1736891850.2486231,11050000,1563.61962890625
1736892020.7127419,11110000,1543.0350341796875
1736892136.31339,11150000,1552.059814453125
1736892159.467116,11160000,1558.0372314453125
1736892193.081882,11170000,1559.7889404296875
1736892444.672352,11260000,1561.6439208984375
1736892585.567104,11310000,1558.262939453125
1736892984.9784,11450000,1562.12255859375
1736893040.917961,11470000,1560.056396484375
1736893605.935329,11670000,1547.894287109375
1736893628.740031,11680000,1550.3138427734375
1736893741.529424,11720000,1534.492431640625
1736893775.557622,11730000,1540.396728515625
1736893798.295788,11740000,1547.2681884765625
1736894308.76586,11920000,1558.4437255859375
1736894455.392704,11970000,1555.3475341796875
1736894651.955049,12040000,1571.2158203125
1736894676.064966,12050000,1570.691162109375
1736894845.898674,12110000,1548.139892578125
1736894902.7171168,12130000,1560.84814453125
1736895047.918114,12180000,1554.4798583984375
1736895104.4518158,12200000,1544.763916015625
1736895776.272386,12440000,1540.968017578125
1736895832.842884,12460000,1543.7401123046875
1736895890.826164,12480000,1541.5625
1736896117.8648179,12560000,1562.6282958984375
1736896208.8009331,12590000,1548.2593994140625
1736896437.292263,12670000,1556.8343505859375
1736896517.232983,12700000,1549.5042724609375
1736896599.7643251,12730000,1555.397705078125
1736896978.929303,12860000,1558.9696044921875
1736897172.458281,12930000,1557.1549072265625
1736897343.2465138,12990000,1560.3570556640625
1736897514.63038,13050000,1544.6822509765625
1736897548.405615,13060000,1537.8211669921875
1736897710.885535,13120000,1541.04150390625
1736897997.013301,13220000,1539.441162109375
1736898143.508947,13270000,1546.6282958984375
1736898166.5146182,13280000,1546.947509765625
1736898255.950093,13310000,1550.32177734375
1736898427.131155,13370000,1557.978271484375
1736898482.926655,13390000,1559.8372802734375
1736898564.211971,13420000,1550.5443115234375
1736898653.5956008,13450000,1559.216064453125
1736898734.9629838,13480000,1572.306884765625
1736898759.187893,13490000,1571.4503173828125
1736899272.301866,13670000,1557.854248046875
1736899707.5245671,13820000,1569.7020263671875
1736900128.24143,13970000,1545.6341552734375
1736900207.594697,14000000,1547.9954833984375
1736900243.6332989,14010000,1548.6446533203125
1736900300.2202141,14030000,1568.57177734375
1736900323.655042,14040000,1585.2955322265625
1736900914.5434282,14250000,1581.6014404296875
1736900948.23278,14260000,1578.1593017578125
1736901083.6858282,14310000,1575.648681640625
1736901173.114347,14340000,1563.309326171875
1736901286.60531,14380000,1562.7435302734375
1736901342.761096,14400000,1558.960205078125
1736901456.987434,14440000,1569.23779296875
1736901571.008406,14480000,1566.5894775390625
1736901686.2036521,14520000,1581.5010986328125
1736954751.3514209,14770000,1563.505126953125
1736954776.2731268,14780000,1565.62744140625
1736955093.848202,14890000,1571.470947265625
1736955326.038579,14970000,1561.54541015625
1736955360.216914,14980000,1560.7684326171875
1736955442.850019,15010000,1580.15625
1736955501.458383,15030000,1581.7701416015625
1736955535.588694,15040000,1580.30078125
1736955797.513144,15130000,1572.8448486328125
1736955997.257344,15200000,1575.4376220703125
1736956439.915188,15350000,1569.3992919921875
1736956463.492306,15360000,1572.340087890625
1736956557.485864,15390000,1565.45947265625
1736957103.357224,15580000,1574.62939453125
1736957243.478312,15630000,1568.22216796875
1736957277.062947,15640000,1566.392578125
1736957335.1878479,15660000,1564.9830322265625
1736957537.349538,15730000,1567.3726806640625
1736957744.966115,15800000,1566.728271484375
1736957769.963257,15810000,1573.4683837890625
1736958034.058681,15900000,1567.8619384765625
1736958142.462469,15940000,1582.2862548828125
1736958201.284854,15960000,1601.352783203125
1736959848.473281,16000000,1589.3985595703125
1736960115.125481,16090000,1576.3612060546875
1736960313.435334,16160000,1594.74658203125
1736960345.143455,16170000,1585.8690185546875
1736960486.258718,16220000,1575.08935546875
1736960719.8762581,16300000,1568.2587890625
1736960976.716943,16390000,1573.5936279296875
1736961011.357088,16400000,1574.0093994140625
1736961125.912736,16440000,1586.074951171875
1736961264.41037,16490000,1567.360107421875
1736961356.009701,16520000,1571.547607421875
1736961413.723095,16540000,1569.01171875
1736961495.804638,16570000,1586.3482666015625
1736961586.475826,16600000,1587.8690185546875
1736961701.757175,16640000,1579.0279541015625
1736961925.171427,16720000,1569.942138671875
1736962154.2959769,16800000,1576.4820556640625
1736962268.593471,16840000,1578.2562255859375
1736962357.690637,16870000,1580.818603515625
1736962382.4778361,16880000,1576.13818359375
1736962551.48192,16940000,1579.1988525390625
1736962583.170304,16950000,1575.5203857421875
1736962809.874166,17030000,1581.378662109375
1736962922.8958762,17070000,1593.20068359375
1736962946.182942,17080000,1590.706298828125
1736962969.399075,17090000,1591.87060546875
1736963026.787946,17110000,1588.2681884765625
