Wall time,Step,Value
1736449819.448368,60000,1204.8685302734375
1736450118.5851555,280000,1199.95166015625
1736450195.882111,340000,1203.1011962890625
1736450428.0122828,510000,1207.595703125
1736450472.347081,540000,1208.3272705078125
1736450510.5075135,570000,1207.6962890625
1736450632.9301054,660000,1212.3128662109375
1736450677.1877773,690000,1212.365478515625
1736450883.7402875,840000,1214.9921875
1736450919.8961892,870000,1215.6571044921875
1736451200.1255212,1070000,1216.8568115234375
1736451318.084864,1160000,1223.1474609375
1736451375.3422997,1200000,1222.490966796875
1736451674.4531221,1420000,1223.4876708984375
1736451851.3379622,1550000,1224.5283203125
1736452082.6654031,1720000,1217.5205078125
1736452120.5476334,1750000,1219.436279296875
1736452241.017662,1840000,1220.015380859375
1736452392.685388,1950000,1220.330810546875
1736452459.2959642,2000000,1228.610595703125
1736452488.6271408,2020000,1232.2811279296875
1736452498.0286756,2030000,1232.6806640625
1736452556.4008908,2070000,1236.6561279296875
1736452784.4304957,2240000,1265.078369140625
1736453004.5849743,2400000,1289.738037109375
1736453089.2752469,2460000,1286.8192138671875
1736453159.9887266,2510000,1286.2666015625
1736453370.325109,2660000,1318.90673828125
1736453454.6310115,2720000,1313.5968017578125
1736453527.7877119,2770000,1315.0682373046875
1736453624.799475,2840000,1325.41845703125
1736453682.0248075,2880000,1314.2694091796875
1736453710.3963468,2900000,1319.653564453125
1736453982.7521045,3090000,1339.2611083984375
1736454215.5557132,3250000,1342.7103271484375
1736454244.5290442,3270000,1342.251708984375
1736454362.1607401,3350000,1348.765869140625
1736454539.3012762,3470000,1374.3546142578125
1736454671.1964097,3560000,1348.741943359375
1736454790.2222977,3640000,1375.2794189453125
1736455027.0904348,3800000,1375.095703125
1736455085.8226745,3840000,1387.0887451171875
1736455881.5577042,4380000,1405.5504150390625
1736455894.3981082,4390000,1412.8380126953125
1736456151.6010067,4560000,1426.42578125
1736456181.8267748,4580000,1426.8262939453125
1736456194.3224053,4590000,1432.197509765625
1736456236.2338982,4620000,1402.3426513671875
1736456462.9720755,4770000,1437.997802734375
1736456505.6686206,4800000,1416.393310546875
1736456523.451434,4810000,1417.99462890625
1736456673.2269323,4910000,1408.1937255859375
1736456925.0678043,5080000,1415.26171875
1736456954.8839061,5100000,1414.3646240234375
1736457265.9975755,5310000,1447.2554931640625
1736457310.0643272,5340000,1459.351318359375
1736457520.5282245,5480000,1438.005859375
1736457597.98129,5530000,1454.3489990234375
1736457767.0929012,5640000,1460.9912109375
1736457927.4455733,5740000,1427.9793701171875
1736458023.6630526,5800000,1465.8427734375
1736458187.7520504,5900000,1443.005126953125
